id,text,created_at
1.9125376359959393e+18,https://t.co/nlaFgrMflJ,2025:04:16:16:04:40
1.9125374428146568e+18,"They can run, but they can’t hide.",2025:04:16:16:03:54
1.9125211881710103e+18,"RT @visegrad24: The UK’s Supreme Court just ruled against the Gov. of Scotland &amp; confirmed women's rights must be based on biological sex,…",2025:04:16:14:59:18
1.9125209560081e+18,"RT @JTLonsdale: Well said.

A couple friends texted me today about the due process and rule of law issues around USA’s immigration (/Biden…",2025:04:16:14:58:23
1.9125206988469332e+18,"RT @SERobinsonJr: On the 10th of April, this video message from SpaceX's President and COO Gwynne Shotwell was presented at the KDDI Press…",2025:04:16:14:57:22
